name_clean,rating_clean,cost_clean,area_clean,cuisines_clean,address,online_order_clean,book_table_clean
Pizza Hut,3.8,750,Shanti Nagar,"Pizza, Fast Food","3, Shaughnes Say Road, Opposite Divya Shree Chambers, Shanti Nagar, Bangalore",1,0
Roti Shotti,3.8,400,Jeevan Bhima Nagar,North Indian,"L 10, Opposite NAL Quarters Gate, Jeevan Bhima Nagar, Bangalore",1,0
Indian Chicken Biryani Point,3.3,300,Richmond Road,"Biryani, South Indian","117, Neelasandra Bazar Street, Rose Garden Bus Stop",1,0
Nando's,4.3,1200,Indiranagar,"Portuguese, African","1088, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",1,0
KFC,3.6,400,Cunningham Road,"Burger, Fast Food","Ground Floor, 14, HM Geneva House, Cunningham Road, Bangalore",1,0
Dakshin Restaurant,3.6,800,Brigade Road,"Mangalorean, Seafood, North Indian, Chinese","Shop 48, Opposite 5th Avenue, Brigade Garden, Brigade Road, Bangalore",1,0
KC Das,3.9,200,MG Road,"Mithai, Street Food","38, MG Road Area, MG Road, Bangalore",1,0
Ovenstory Pizza,3.8,750,Vasanth Nagar,Pizza,"1/1, Bluemoon Chambers,10th Cross, 10th Main, Vasanth Nagar, Bangalore",1,0
M.M.A Kababs Rolls & Biryani Center,2.7,400,Old Madras Road,"Arabian, Mughlai, Chinese, Kebab, Fast Food","Opposite Indiranagar Bus Depot, Old Madras Road, Bangalore",1,0
Richie Rich,4.0,450,Race Course Road,"Desserts, Beverages, Fast Food, Ice Cream","Shivananda Circle, Near Lalit Ashok, Race Course Road, Bangalore",1,0
Belgian Waffle Factory,4.9,400,Brigade Road,Desserts,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",1,0
No 10 Fort Cochin,3.8,800,St. Marks Road,"Biryani, Kerala, Seafood, South Indian","9, Halycon Complex, St. Marks Road, Bangalore",1,1
Shanthi Sagar,4.1,250,Ulsoor,"South Indian, North Indian, Chinese, Juices","9/1, Tank Road, Ulsoor, Bangalore",1,0
Savoury Restaurant,4.1,800,Frazer Town,"Arabian, North Indian, Chinese, Beverages","27, Mosque Road, Frazer Town, Bangalore",1,0
Faasos,3.8,500,Vasanth Nagar,"North Indian, Biryani, Fast Food","1/1, Bluemoon Chambers,10th Main, Vasanth Nagar, Bangalore",1,0
Karama Restaurant,4.4,750,Frazer Town,"Arabian, North Indian, Beverages","55, Mosque Road, Frazer Town, Bangalore",1,1
The Mughal's,3.7,400,Frazer Town,"Mughlai, North Indian, Chinese","86, MM Road, Pulikeshi Nagar, Frazer Town, Bangalore",1,0
Potful,4.1,650,Domlur,"Biryani, Kebab, Rolls, Mughlai","181, 3rd Floor, Amar Jyothi Layout, Inner Ring Road, Domlur, Bangalore",1,0
KKR FOODIES,3.1,400,St. Marks Road,"Biryani, Chinese, Fast Food, North Indian","14, St. Marks Road, Bangalore",1,1
Hotel Dil Coorg,3.6,300,Ulsoor,"North Indian, South Indian","80, G 10 Street, Jogupalya, Ulsoor, Bangalore",1,0
Meghana Foods,4.2,750,Indiranagar,"Biryani, Chinese, North Indian, Seafood","544, First Floor, Near Indiranagar Metro Station, CMH Road, Indiranagar, Bangalore",1,1
The Milkshake Theory,3.2,400,Lavelle Road,"Beverages, Fast Food","4, Madras Bank Road, Lavelle Road, Bangalore",1,0
Snack House,3.8,200,Indiranagar,"Fast Food, Momos","212/A, 1st Main Road, Stage 2, Indiranagar, Bangalore",1,0
Indiana Burgers,3.4,300,Domlur,Burger,"598, 1st floor, 1st Cross, 1st A Main Road, Domlur Layout, Domlur, Bangalore",1,0
Xpress Biryani,4.3,650,Ulsoor,"Biryani, North Indian, Kebab","102, 5/1 Assays Road, 5th Block, Sindhi Colony, Ulsoor, Bangalore",1,0
Cupcake Bliss,3.6,250,Domlur,Bakery,"598, 1st floor, 1st Cross, 1st A Main Road, Domlur Layout, 1st Stage, Domlur, Bangalore",1,0
New Alameen Restaurant,3.5,300,Ulsoor,"Kerala, North Indian, Chinese","22, Bazar Street, Ulsoor, Bangalore",1,0
Soda Bottle Opener Wala,4.4,1300,Lavelle Road,"Parsi, North Indian","25/4, Opposite Harley Davidson Showroom, Lavelle Road, Bangalore",1,1
Smoke House Deli,4.6,1600,Lavelle Road,"European, Italian, Desserts, Salad, Juices, Steak","52/ 53, Ground Floor, Lavelle Road, Bangalore",1,0
Thai Chy,4.3,1200,Indiranagar,"Thai, Asian, Indonesian","197/A, Double Road, 2nd Stage, Opposite HDFC Bank, Indiranagar, Bangalore",1,1
Donne Biryani Hatti,3.6,300,Vasanth Nagar,Biryani,"145, 8th Main Road, Vasanth Nagar, Bangalore",1,0
Kabab Magic,3.9,500,Richmond Road,"North Indian, Kebab, Fast Food","17, Opposite Fatima Bakery, Richmond Road, Bangalore Richmond Road",1,0
The Good Bowl,3.6,500,Vasanth Nagar,"Italian, North Indian, Biryani","Shop 1, 10Th Main 10Th Cross Road, Vasanth Nagar, Bangalore",1,0
Ishta Upahar,3.4,100,Ulsoor,South Indian,"19, Cambridge Road, Ulsoor, Bangalore",1,0
Krispy Kreme,4.0,300,Richmond Road,"Desserts, Beverages","Ground Floor, Adarsh Opus, Campbell Road, Austin town, Richmond Road, Bangalore",1,0
Healthie,3.9,600,Indiranagar,"Healthy Food, Beverages","4, 39/1, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",1,0
XO Belgian Waffle,4.4,450,Brigade Road,"Desserts, Beverages","Kiosk 5, Third Floor, Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",1,0
Mani's Dum Biryani,4.0,750,Ulsoor,"Biryani, Kebab","18/1, 1st Floor, Haudin Road, Ulsoor, Bangalore",1,0
Biryani Trip,0.0,400,Indiranagar,Biryani,"212/A, 1st Main Road, Stage 2, Indiranagar, Bangalore",1,0
Subway,3.9,600,Lavelle Road,"Salad, Fast Food","2nd Floor, UB City, Vittal Mallya Road, Lavelle Road Area, Bangalore, Lavelle Road, Bangalore",1,0
Kaati Zone,3.1,350,Church Street,"Fast Food, Biryani, Rolls","48, Triumph Towers, Church Street, Bangalore",1,0
Suryawanshi,4.2,700,Indiranagar,"Seafood, Maharashtrian","Srinivasan Towers, ESI Hospital Road, Off Double Road, Indiranagar, Bangalore",1,0
Portland Steakhouse & Cafe,4.3,1500,MG Road,"Steak, Italian, Continental, American, Burger, BBQ, Salad","1, Brunton Road, 1st Cross, Ashok Nagar, MG Road, Bangalore",1,1
WOW! Momo,3.7,400,Brigade Road,"Chinese, Momos","185, Brigade Road, Bangalore",1,0
Thalis Of India,3.4,500,Indiranagar,"South Indian, North Indian, Beverages","Number 4 St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",1,0
Keventers,4.0,400,Indiranagar,"Desserts, Beverages, Ice Cream","949, Ground Floor, HAL 2nd Stage, 12th Main, 100 feet Road, Indiranagar, Bangalore",1,0
Utse Kitchen,4.2,800,Commercial Street,"Nepalese, Tibetan, Momos","73, Kamaraj Road, Commercial Street, Bangalore",1,0
The London Shakes,0.0,500,Church Street,"Pizza, Burger, Coffee, Beverages","50/1, Haridevpur, Shantala Nagar, Ashok Nagar, Church Street, Bangalore",1,0
Shawarma Inc,3.1,250,Brigade Road,"Rolls, Lebanese","Third Floor, Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",1,0
Alampur Bar And Restaurant,3.7,900,Race Course Road,"Chinese, South Indian, North Indian","Chalukya Hotel, 44, High Grounds, Race Course Road, Bangalore",1,0
SGS Non Veg - Gundu Pulav,3.9,400,St. Marks Road,"Biryani, Fast Food","15/4 Museum Road, Oppsite SBI Gate No 2, Shanthala Nagar, St. Marks Road, Bangalore",1,0
Hotel Fanoos,4.0,400,Richmond Road,"Arabian, Biryani, Rolls, Kebab","17, Hosur Road, Near Johnson Market, Richmond Road, Bangalore",1,0
Laughing Llama Gastropub,4.3,1600,Brigade Road,"Finger Food, Continental, Pizza","148 /149, St Thomas Building, Brigade Road, Bangalore",1,1
Imperial Restaurant,3.9,800,Indiranagar,"North Indian, Chinese, Biryani, Kebab, Juices","1324, Double Road, 2nd Stage, Opposite Cauvery School, Indiranagar, Bangalore",1,0
Oregano Pizzeria,3.5,300,Frazer Town,"Italian, Pizza","29, Assaye Road, 1st Cross, Sindhi colony, Frazer Town, Bangalore",1,0
The Good Grain,4.1,400,Residency Road,"Healthy Food, North Indian, South Indian","2A-3A-4A, Cears Plaaza, Residency Road, Bangalore",1,0
Pasta Street,4.5,1300,Cunningham Road,"Italian, Pizza, Salad","37/2, Chicago Avenue, Opposite Fortis Hospital, Cunningham Road, Bangalore",1,1
Chetty's Coffee,3.7,200,MG Road,South Indian,"44/5, Padmashree Building Dickenson Road, MG Road, Bangalore",1,0
Cita Pani,3.9,350,Indiranagar,"Biryani, North Indian, Arabian","1083, 12th main, 5th Cross, Indiranagar, Bangalore",1,1
Crazy Pizza,0.0,400,Brigade Road,"Pizza, Beverages","3th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road Area, Brigade Road, Bangalore",1,0
The Waffle Press,4.3,400,St. Marks Road,"Desserts, Ice Cream","Shop 3 & 14, Shanthala Nagar, Ashok Nagar, St. Marks Road, Bangalore",1,0
Delicacy,3.9,500,Frazer Town,"Chinese, Thai, Momos","Kenchappa Road Cross, Frazer Town, Bangalore",1,0
Kareem's,3.6,700,Frazer Town,"North Indian, Mughlai","19, Saunder Road, Opposite Seventh Day Hospital, Frazer Town, Bangalore",1,0
Mamagoto,4.4,1600,Indiranagar,"Asian, Thai, Chinese, BBQ, Momos","949, 12th Main, Ground Floor, Off 100 Feet Road, Indiranagar, Bangalore",1,1
Tayabbs,3.0,500,Frazer Town,"Rolls, North Indian, Fast Food","3, Nandidurga Road, Benson Town, Frazer Town, Bangalore",1,0
Atty's Bakery,4.0,250,Frazer Town,Bakery,"125, M.M Road, Near Frontline Polyclinic, Frazer Town, Bangalore",1,0
Vijayalakshmi Veg,3.9,200,Frazer Town,South Indian,"112, MM Road, Frazer Town, Bangalore",1,0
The Cake House,3.7,300,Ulsoor,"Bakery, Desserts","17/3, Ground Floor, Cambridge Road, Opposite FAPS, Ulsoor, Bangalore",1,0
Eden Park,4.1,1100,Cunningham Road,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","21/1, Behind The Hindu, Cunningham Road, Bangalore",1,1
YumYumDilli,3.6,500,Indiranagar,North Indian,"2nd Stage, Indiranagar, Bangalore",1,0
Kanti Sweets,3.9,400,Brigade Road,"Mithai, Street Food","157, St. Patricks Complex, Brigade Road, Bangalore",1,0
Rahhams,3.9,700,Frazer Town,"Mughlai, North Indian, Chinese","82, MM Road, Frazer Town, Bangalore",1,0
Popat Juice Junction,0.0,200,Ulsoor,"Beverages, Juices","Shop 1, 1st Main Road, Appaiah Garden, Jogupalaya, Near Ulsoor, Bangalore",1,0
Marzipan Cafe & Bakery,4.2,700,Ulsoor,"Cafe, Mediterranean, Bakery, Greek, Beverages","22, Ulsoor Road, (ground floor of Sunrise Chambers), Bangalore",1,0
Bozo's Yum Yums,4.0,650,Frazer Town,"Fast Food, Burger, American","4, Stephen's Crossroads, Frazer Town, Bangalore",1,0
Pind Balluchi,4.0,700,Brigade Road,"North Indian, Mughlai","4th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",1,1
Cream Chemistry,3.9,500,Frazer Town,"Ice Cream, Desserts","88/1, Opposite to Reliance Fresh, Coles Road, Frazer Town, Bangalore",1,0
The Brekkie Shop,3.5,300,MG Road,"Healthy Food, Sandwich","Trinity Metro Station, MG Road, Bangalore",1,0
Maravanthe,3.5,650,Brigade Road,"Mangalorean, Seafood","Stall 2, Q Court, Garuda Mall, 3rd Floor, Magrat Road, Brigade Road, Bangalore",1,0
House Of Candy,0.0,200,Malleshwaram,Desserts,"Brigade Gateway, 26/1 DR. Rajkumar Road, Malleshwaram, Bangalore",1,0
Haldiram's Express,3.6,300,Brigade Road,North Indian,"Ground Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",1,0
Hotel Ramprasad,4.2,300,Brigade Road,"South Indian, Chinese","123, Brigade Road, Bangalore",1,0
The Chef's Cake & Bakes,0.0,800,Richmond Road,Desserts,"2, 6/1, 5th Main Road, Andra Colony, Vannarpet Layout, Vivek Nagar, Richmond Road, Bangalore",1,0
Anna Kuteera,3.8,400,St. Marks Road,"South Indian, North Indian, Chinese","14, St. Marks Road, Bangalore",1,0
Indian Spice Food,3.6,300,Ulsoor,"North Indian, Chinese","21, KK St, Someshwarpura, Ulsoor, Bangalore",1,0
Wangs Kitchen,2.5,1000,Ulsoor,Chinese,"2, Ulsoor Road, Yellappa Chetty Layout, Ulsoor, Bangalore",1,0
Lassi Shop,3.8,100,Indiranagar,"Beverages, Juices, Ice Cream","3217, 13th Cross, Indiranagar, Bangalore",1,0
Kitchen of Joy,4.1,400,Indiranagar,"Fast Food, Bengali, Rolls","12th Main, HAL 2nd Stage, ESI To Domlur, Service Road, Indiranagar, Bangalore",1,0
Haji Ali Juice Centre,4.0,350,Commercial Street,"Fast Food, Pizza, Rolls, Beverages, Juices","Opposite Jama Masjid, Jama Masjid Road, Commercial Street, Bangalore",1,0
Domino's Pizza,3.9,800,MG Road,"Pizza, Fast Food","Trinity Metro Station, Namma Metro, MG Road, Bangalore",1,0
Mama Mia!,4.3,400,Indiranagar,"Desserts, Cafe","12th Main Road Junction, Double Road, Indiranagar, Bangalore",1,0
Shaadi Ki Biryani,2.8,600,Commercial Street,Biryani,"75, Jansons Building, Next to Westside, Commercial Street, Bangalore",1,0
Taste of Nepal,3.5,350,Koramangala 8th Block,"Nepalese, Momos, Chinese","H-14, 1st Main, 80 Feet Road, KR Garden, Koramangala 8th Block, Bangalore",1,0
Shiro,4.4,3000,Lavelle Road,"Japanese, Asian","2nd Floor, UB City Mall, Vittal Mallya Road, Lavelle Road, Bangalore",1,1
Five Star Chicken,3.5,200,Wilson Garden,"Fast Food, Burger","299, B.T..S. Main Road, 14th Cross, Wilson Garden, Bangalore",1,0
Thai House,4.2,700,Brigade Road,Thai,"Ground Floor, 5th Avenue Mall, Brigade Road, Bangalore",1,0
InnerChef,3.7,500,Indiranagar,"North Indian, Continental","4, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",1,0
Roll Er Dokaan,3.3,300,Brigade Road,"Street Food, Rolls","Q Court, The Food Court, 3rd Floor, Garuda Mall, 15, Margath Road, Craig Park Layout, Brigade Road, Bangalore",1,0
NH7 Refuel,3.5,400,Ulsoor,"North Indian, Chinese, Biryani","Ground Floor, Sky Walk Building, Assaye Road, Ulsoor, Bangalore",1,0
Royanna Military Canteen,0.0,200,Brigade Road,"South Indian, Biryani","Shop 9, St Patricks Complex, Shanthala Nagar, Ashok Nagar, Brigade Road, Bangalore",1,0
Church Street Social,4.3,1500,Church Street,"American, North Indian, Chinese, Finger Food, Momos","46/1, Cobalt Building, Church Street, Bangalore",1,0
Mad Over Donuts,3.9,450,Brigade Road,"Bakery, Desserts, Beverages","Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",1,0
Sheesh Kebab,4.1,700,Frazer Town,North Indian,"Number 55, MM Road, Opposite Post Office, Frazer Town, Bangalore",1,0
Just Shawarma,3.8,300,Ulsoor,Arabian,"Skywalk, Lower Ground Floor, Assaye Road, Ulsoor, Bangalore",1,0
Bangaliana,3.7,500,Indiranagar,Bengali,"39/7, 5th Cross, 6th Main, Appareddy Palya, Indiranagar, Bangalore",1,0
The Belgian Waffle Co.,4.0,400,Indiranagar,Desserts,"949, 12th Main Rd, Appareddipalya, Indiranagar, Bengaluru, Karnataka",1,0
Slurpy Shakes,0.0,300,Domlur,Beverages,"598, 1st Floor, 1st Cross, 1st A Main Road, Domlur Layout, 1st Stage, Domlur, Bangalore",1,0
Taco Bell,3.8,600,Brigade Road,"Mexican, American, Fast Food","15, 3rd Floor, Garuda Mall, Magrath Road, Craig Park Layout, Ashok Nagar, Bangalore",1,0
Bangalore Masala House,4.2,500,Vasanth Nagar,"Cafe, Continental, Fast Food","46, 8th Main, Vasanth Nagar, Bangalore",1,0
Classic Lassi Shop,3.5,150,Ulsoor,"Beverages, Ice Cream","Skywalk, 5/1, Near Body Craft, Assaye Road, Ulsoor, Bangalore",1,0
Fruit Face,3.6,300,Indiranagar,"Fast Food, Street Food, Beverages","493, 13th Cross, 2nd Stage, Behind BDA Complex, Indiranagar, Bangalore",1,0
Sweet Truth,4.2,500,Koramangala 8th Block,"Bakery, Desserts","785, 2nd B Main, Bhuvaneshwari Road, Koramangala 8th Block, Bangalore",1,0
Srinidhi Sagar Food Line,3.7,40,Indiranagar,"South Indian, North Indian, Chinese","68, Appareddy Palya, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",1,0
Jars,3.8,650,Vasanth Nagar,"Healthy Food, Beverages","15, Palace Cross Road, Vasanth Nagar, Bangalore",1,0
Pabrai's Fresh & Naturelle Icecreams,4.2,180,Brigade Road,"Ice Cream, Desserts","No 6, Wood Street (Off Brigade Road), Ashok Nagar, Bangalore",1,0
Ibaco,4.0,300,Indiranagar,Desserts,"844, Binnamangala, 1st Stage, Near B.D.A Complex, Double Road, Indiranagar, Bangalore",1,0
Hungerbreak 24x7,3.1,500,Koramangala 8th Block,"North Indian, South Indian, Maharashtrian","58, Mallappa Reddy Layout, Oyo Balaji Guest House, Koramangala 8th Block, Bangalore",1,0
The Egg Factory,4.2,750,St. Marks Road,"Continental, American","29, Ground Floor, Whitehouse, Opposite SBI Bank, St. Marks Road, Bangalore",1,0
Firewood Biryani,3.9,400,Residency Road,"Biryani, Kebab, Rolls","10, Bishop Cotton Complex, Next to Bangalore Club, Residency Road, Bangalore",1,0
Sweet Chariot,3.8,500,Cunningham Road,"Bakery, Fast Food","Prestige Center Point, Beside Pizza Hut, Cunningham Road, Bangalore",1,0
Venus Biryani,3.0,200,Domlur,"Biryani, Chinese","3rd Cross, 2nd Stage, Domlur, Bangalore",1,0
Sangam Sweets,3.1,200,Seshadripuram,"Mithai, Street Food","7, Shivananda General Stores Complex, Harekrishna Road, Kumara Krupa Road, Seshadripuram, Bangalore",1,0
Container Coffee,0.0,200,Ulsoor,South Indian,"31, Ground Floor, Ulsoor Road, Near HDFC Bank, Ulsoor, Bangalore",1,0
Kartik's Mithai Shoppe,4.1,150,Indiranagar,"Mithai, Street Food","322, Shalini Complex, CMH Road, Indiranagar, Bangalore",1,0
Desi Deck,3.9,1300,Brigade Road,"Mughlai, North Indian, Desserts","120, 4th Floor, Lancer Building, Brigade Road, Bangalore",1,1
UBCR,3.3,350,Indiranagar,"Italian, American, Chinese, Arabian, North Indian, Cafe","Ground Floor, Figure and Fitness Gym, ESI Hospital Road, Double Road, Stage 3, Indiranagar, Bangalore",1,0
Hoppipola,4.3,1300,Church Street,"Continental, Mediterranean, European","14, 3rd Floor, Church Street, Bangalore",1,0
Hatti Kaapi,3.8,200,Ulsoor,"South Indian, Beverages","Yellappa Chetty Layout, Sivanchetti Gardens, Ulsoor, Bangalore",1,0
Mount View Fast Food,3.3,100,Vasanth Nagar,"Fast Food, Street Food","8th Main, Vasanth Nagar, Bangalore",1,0
Chichaba's Taj,3.9,600,Frazer Town,"Biryani, North Indian, Mughlai","50, MM Road, Frazer Town, Bangalore",1,0
99 Pancakes,4.1,150,Church Street,"Desserts, Ice Cream","16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",1,0
Beijing Bites,3.8,850,Richmond Road,"Chinese, Thai","11/2 Ground Floor, Sigma Trident, Off Richmond Road, Richmond Road, Bangalore",1,0
Kabab Korner,3.9,500,St. Marks Road,"North Indian, Chinese, Fast Food","22, Opposite SBI Bank, St. Marks Road, Bangalore",1,0
Oh My Chaat,3.1,300,Frazer Town,Street Food,"13/1, Padmlaya, Buddh Vihar Road, Cox Town Frazer Town, Bengaluru",1,0
YumYumSouth,3.5,600,Indiranagar,South Indian,"4, 39/1, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",1,0
Foodhall,4.0,1000,MG Road,"Italian, Bakery, Fast Food","Level 4, Trinity Circle, MG Road, Bangalore",1,0
Ciclo Cafe,4.3,1000,Indiranagar,"Cafe, Italian, American","12th Main Road, Indiranagar, Bangalore",1,0
Alibaba Cafe and Restaurant,3.9,700,Frazer Town,"Arabian, Middle Eastern","69, 1st Floor, M.M Road, Frazer Town, Bangalore",1,0
Goli Vada Pav No. 1,3.5,200,Ulsoor,Street Food,"3, Cambridge Layout, Opposite Frank Anthony Public School, Ulsoor, Bangalore",1,0
Ooty Chocolates,3.8,300,Indiranagar,Desserts,"3137/A, 7th Main, HAL 2nd Stage, Off Double Road, Indiranagar, Bangalore",1,0
Arya Bhavan Sweets,3.2,300,Vasanth Nagar,"Mithai, Street Food, North Indian","7&8, KSV Nilaya Complex, Miller's Road, Vasanth Nagar, Bangalore",1,0
Amande Patisserie,4.2,300,Lavelle Road,"Bakery, French, Desserts","2nd Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",1,0
Qissa Khawani,4.4,800,Church Street,"North Indian, Mughlai","G 35A, Ground Floor, Brigade Gardens, Off Brigade Road, Church Street, Bangalore",1,0
Ayda Persian Kitchen,3.9,950,Church Street,"North Indian, Iranian","1, 1st Floor, Church Street, Bangalore",1,0
Sri Krishna Sweets,3.7,250,Indiranagar,Mithai,"237-240, Ground Floor, 13th Cross, 2nd Stage, Off Double Road, Indiranagar, Bangalore",1,0
Tewari Bros Mithai Shoppie,3.8,300,Commercial Street,"Fast Food, Mithai","27, Dickenson Road, Commercial Street, Bangalore",1,0
Kolkatta Famous Chat,3.7,100,Indiranagar,"Street Food, North Indian","649, CMH Road, Indiranagar, Bangalore",1,0
Cookie Man,3.4,150,Brigade Road,Bakery,"Ground Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",1,0
Cafe Coffee Day,3.3,900,Brigade Road,"Cafe, Fast Food","HM Towers, 58, Brigade Road, Bangalore",1,0
Kabab Mela,0.0,300,Shivajinagar,"North Indian, Chinese, Kebab","99, Shivaji Road, Rajiv Gandhi Colony, Shivajinagar, Bangalore",1,0
Vinny's,3.9,800,Brigade Road,"Pizza, Italian, Continental, Desserts","3rd Floor, Guarda Mall, Ashok Nagar, Near Brigade Road, Bangalore",1,0
Sagar Delicacy,3.9,500,Ulsoor,"North Indian, Chinese, Fast Food, Street Food","12, Near Ulsoor Lake, Ulsoor, Bangalore",1,0
Platter,2.9,300,Residency Road,"Street Food, Juices","Ground Floor, Genesis Food, Devatha Plaza, Residency Road, Bangalore",1,0
Savera Lassi Shop,0.0,100,Shivajinagar,"Beverages, Juices","4, HK, Shivajinagar, Bangalore",1,0
The Adukkala Restaurant,3.6,500,Brigade Road,Kerala,"St Patricks Complex, 2nd Floor, Brigade Road, Ashok Nagar",1,0
Carnival de Goa,4.2,1000,Ulsoor,"Goan, Mangalorean, Pizza","1st Floor, 8/6 Kensington Point, Ulsoor Road, Ulsoor, Bangalore",1,1
McDonald's,3.7,500,Brigade Road,"Burger, Fast Food","43, 44, 45, Opposite Space Centre, Brigade Road, Bangalore",1,0
Northern Route,4.1,300,St. Marks Road,"North Indian, Street Food","14, St. Mark's Plaza, St. Marks Road, Bangalore",1,0
INDULGE by InnerChef,3.5,400,Indiranagar,"Desserts, Bakery","4, St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",1,0
The Open Box,4.2,1400,St. Marks Road,"European, North Indian, Mediterranean, Asian, Salad","9, 4th Floor, Halcyon Complex, St. Marks Road, Bangalore",1,1
Double Decker,4.3,1300,Brigade Road,"Continental, North Indian","120, 4th Floor, Lancer Building, Brigade Road, Bangalore",0,1
Chickpet Donne Biryani House,3.7,250,Commercial Street,Biryani,"Choice Collections, Dispensary Road, Tasker Town, Commercial Street, Bangalore",1,0
Toscano,4.4,1500,Lavelle Road,"Italian, Salad","2nd Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",1,1
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,3.1,500,Indiranagar,Continental,"4, St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",1,0
Dakshin Biryani & Tiffin,3.4,550,Indiranagar,"Andhra, South Indian, North Indian","542, 1st Floor, CMH Road, Indiranagar Metro Station, Indiranagar, Bangalore",1,0
Pizza Stop,3.5,600,Lavelle Road,"Pizza, Italian","Airlines Hotel, 4, Madras Bank Road, Lavelle Road Area, Lavelle Road, Bangalore",1,0
Baskin Robbins,3.1,250,Frazer Town,"Ice Cream, Desserts","93, Mosqe Road, Frazer Town, Bangalore",1,0
Robin Brown Ice Cream,0.0,250,Frazer Town,Desserts,"39, Coles Road, Cleveland Town, Pulikeshi Nagar, Bangalore",1,0
Chocolate D'Luxe,4.1,550,Lavelle Road,Desserts,"24, Ground Floor, Canberra Block, The Collection, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",1,0
Chilli Chicken,3.1,500,Brigade Road,Fast Food,"Shop 101, Main Road, Ashok Nagar, Brigade Road, Bangalore",1,0
NoLimmits Lounge and Club,4.0,2000,Brigade Road,"Chinese, Continental, North Indian, Burger, Pizza","8, 2nd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore",1,1
Delisias,0.0,400,Brigade Road,Bakery,"R Plaza, Opposite Rest House Road, Central Bangalore, Near Brigade Road, Bangalore",0,0
Masale Daan,3.2,350,Richmond Road,North Indian,"Fresh Menu, No .2 AGA abdullah Street, MAH QUDDUS 4th floor Richmond Town Bangalore-560001. (Landmark - Johnson Market Near water tank, bharat petrol bunk)",1,0
Hotel Rangoon,3.7,300,Ulsoor,Burmese,"92/1, 2nd Cross, Cambridge Road, Ulsoor, Bengaluru",1,0
Drunken Monkey,3.5,400,Frazer Town,"Beverages, Fast Food","60/1, Coles Road, Cleveland Town, Pulikeshi Nagar, Frazer Town, Bangalore",1,0
Mangalore pearl - Seafood Restaurant,4.3,550,Ulsoor,"Mangalorean, Seafood","5/1, Skywalk Building, Assaye Road, Ulsoor, Bangalore",1,0
The Wok Shop,3.4,500,Ulsoor,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean","The Millenia, The Market Place Food Court, Level 12-14, Tower B, 1 & 2, Murphy Road, Ulsoor, Bangalore",1,0
Chaitanya Veg,3.2,300,Shivajinagar,South Indian,"M.F Noranha Road, Opp. Russel Market, Shivajinagar, Bangalore",1,0
20 Feet High,4.0,1000,Church Street,"American, Continental, Steak, Salad","22, Amoeba Complex, Church Street, Bangalore",1,1
World In A Bowl,2.8,600,Indiranagar,"Continental, North Indian, Desserts, Beverages","4, St Mary's Building, Appareadypalya, Stage 2, Indiranagar, Bangalore",1,0
Bean Flickers,4.3,700,Indiranagar,"Cafe, American, Fast Food, Coffee, Continental","1083,5th Cross, Opposite Corporation Bank, 12th Main, Indiranagar, Bangalore",1,0
7 Plates,3.9,600,Frazer Town,"North Indian, Mughlai, Rolls, Fast Food","5/5, Benson Cross Road, Near Family Super Market, Benson Town, Frazer Town, Bangalore",1,0
Munchies,3.9,250,Brigade Road,"Fast Food, Bakery","1-A, Albert Street, Brigade Tower",1,0
Supreme Biryani,0.0,400,Ulsoor,Biryani,"18/1, First Floor Haudin Road, Ulsoor, Bangalore",1,0
Kenz Karam,3.5,300,Frazer Town,"Desserts, Beverages","11, 1st cross Road, Williams Town, Benson Town, Frazer Town, Bangalore",1,0
Kobe Sizzlers,4.1,1500,Brigade Road,"American, Continental, Fast Food, Steak","3th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road Area, Brigade Road, Bangalore",1,0
